tag,type,referring,referred,score,book_id
00DV,lemma,3,107,73.71912994396739,10.19.1
06AG,lemma,56,2,57.321852896148926,36.10.3
0CF4,lemma,50,1,50.66092644807446,36.10.5
06Z0,lemma,8,48,39.724469507574156,35.3.5
01ZM,lemma,7,45,36.74169016335077,31.10.1
0CG6,lemma,36,1,36.66092644807446,64.17.3
04S6,theorem,23,18,34.89667606534031,69.10.1
0CGX,lemma,34,1,34.66092644807446,64.17.5
00U2,lemma,12,33,33.81057278645723,10.141.3
00NX,lemma,9,37,33.45427857875508,10.77.2
02KH,lemma,6,41,33.097984371052924,29.5.2
01UA,lemma,3,45,32.74169016335077,28.24.9
